用例ID,需求ID,优先级,适用端,前置条件,操作步骤,预期结果,所需证据,执行端,环境/版本,执行人,日期,实际结果,结论,证据位置,缺陷ID,复验结果
T25,R10,P0,信众 / 执行方,待确认回执，用户已实际核对,勾选核对并确认；重复原请求；再次打开档案,仅用户可确认；完成只发生一次；档案留存；重新进入不循环完成特效,完成事件计数、档案与用户确认,,,,,,未执行,,,
T26,R10,P0,信众 API,他人回执媒体链接及自身会话,用另一用户、游客和错误寺院读取；篡改文件内容后在隔离环境校验,无权读取拒绝；完整性异常明确失败；没有泄露其他人回执正文,授权响应和校验错误，不公开媒体,,,,,,未执行,,,
T27,R10,P0,媒体上传端 / API,记录本环境允许类型、大小、数量配置,上传伪扩展文件、超上限文件及超数量；重用已发布媒体到别单,非法内容或超限被拒；不会串单复用；失败无最终回执与状态推进,配置值、边界输入、失败后记录,,,,,,未执行,,,
T28,R10,P0,寺院 / 大师 API,可注入失败的隔离数据库环境,并发提交同一回执；在事务中断点失败；重试并读状态日志,一次有效提交；失败事务不留半成品或重复事件；可按原结果恢复,版本数、状态日志及 outbox 条数,,,,,,未执行,,,
T29,R11,P1,信众 H5 / iOS,待确认、待执行和执行中各一单,前两阶段填写并修改心愿；执行中尝试修改；不填心愿走主流程,可填阶段历史保留；越阶段遵循限制；空心愿不阻断服务,留言历史、错误及正常流程,,,,,,未执行,,,
T30,R11,P1,信众 H5 / iOS,不同日期状态的本人预约及历史完成无回执单,首页进入集中页；组合搜索日期状态；切档案；返回原订单,本人结果一致；筛选和清除有效；历史无回执如实显示，不补造影像,筛选结果、原详情和历史空状态,,,,,,未执行,,,
T31,R12,P0,H5 / 两 iOS,有效会话和可进入的大师私聊,断网发送文字后恢复；重试原消息；查看较早消息时接收新消息,失败状态明确且重试不重复；草稿保留；旧阅读位置不被强拉,客户端消息 ID、服务端记录、滚动位置,,,,,,未执行,,,
T32,R12,P1,H5 / 两 iOS,两对用户会话、历史消息,筛选未读并搜索；切账号；打开无资格旧会话,列表与角标口径一致；不混账号消息；失败页结束加载且可返回,两个账号消息范围及错误页,,,,,,未执行,,,
T33,R13,P1,信众 H5 / iOS,两页系统通知和有效预约通知,分页；打开一条；全部已读；取消后再确认删除；点预约通知,读写统计一致；取消删除不变；确认后删除；跳正确订单且不改变私聊未读,通知 ID、计数前后与目标订单,,,,,,未执行,,,
T34,R14,P1,信众 H5 / iOS,公开图文视频和已关注内容,游客浏览发现图文视频；登录后切关注；打开播放并返回,公开读取不因普通加载错误踢登录；关注按身份引导；媒体真实可读,切换录屏、登录状态和播放结果,,,,,,未执行,,,
T35,R14,P1,大师端 / 平台 / 信众,授权素材及可发布大师,保存草稿；提交审核；驳回补充再通过；信众查看后下架,草稿和待审不冒充公开；驳回理由可见；上下架与展示一致,内容 ID、各阶段可见性,,,,,,未执行,,,
T36,R15,P0,信众 H5 / iOS,两个开放模型含文字和图片能力,发送文字；切模型再问；附图片选择不支持图的模型,切换只影响新问答；旧回答保留；图片能力限制清晰；真实回答可读,请求模型、回答结果与图片限制,,,,,,未执行,,,
T37,R15,P0,信众 H5 / iOS,可生成专题、已知积分余额,生成免费摘要；余额不足解锁；补足后确认解锁；重复读取,摘要不扣；不足不扣；成功一次扣分解锁；重读不再扣解锁费,报告 ID、积分流水和可读章节,,,,,,未执行,,,
T38,R15,P1,信众 / AI 服务,可模拟超时或生成失败,让生成响应超时；查我的报告；对原记录重试或恢复,不重复创建付费记录；失败状态可理解；恢复后保留原报告关系,报告数量、状态与费用变化,,,,,,未执行,,,
T39,R16,P0,信众 H5 / iOS,游客无会话，若干可用材料,进入 DIY 编辑；调整后保存触发登录；完成登录返回,游客能制作；账号动作才引导登录；制作上下文不丢失；原生需真机执行,登录前后材料序列、尺寸和保存结果,,,,,,未执行,,,
T40,R16,P1,信众 H5 / iOS,多类材料、可用 3D 资源,组合分类与搜索；H5 加五行；调整珠序、撤销重做；切 3D 并模拟失败,筛选符合端能力；编辑结果正确；3D 实际渲染；失败可退保留设计的 2D,材料结果、几何截图与恢复序列,,,,,,未执行,,,
T41,R16,P1,信众 H5 / iOS,已登录且有本人设计,保存并发布；另一用户浏览；原作者编辑再保存；重新发布,作品权限和状态正确；编辑保存转私密；他人不能编辑原作,设计 ID、前后可见性,,,,,,未执行,,,
T42,R17,P0,信众 / 商城后台,保存设计、受控库存价格,后台下架或减库存；旧设计尝试下单；恢复后改价并再次下单,服务端拒绝不可用设计；新金额需核对；客户端旧价不可绕过,可用性响应、订单金额和库存,,,,,,未执行,,,
T43,R17,P0,信众 / 商城 / 寺院 / 大师,DIY 有加持订单；另备无加持订单,模拟支付审核制作；有加持分配执行留凭证；发货确认；分别查两单,各单按所选流程；历史明细按快照；无加持不强加任务；收货只在可确认状态,设计快照、任务与订单、物流状态,,,,,,未执行,,,
T44,R17,P0,商城后台 / 信众,已支付待审 DIY 订单,后台填原因拒绝；查库存和退款处理；再重复拒绝,流程停止且库存仅恢复一次；退款处理与实际到账分开；无重复恢复,库存前后、拒绝原因、支付处理状态,,,,,,未执行,,,
T45,R18,P0,信众 / 商城后台,普通与体验商品、可用地址,分别建单；尝试混合结算；体验模拟付款发货；查积分及营收口径,混合结算受限；体验说明明确；体验不奖励消费积分或记真实营收,商品标识、订单类型、积分账务,,,,,,未执行,,,
T46,R18,P0,信众 / 商城后台,普通订单已满足售后条件,下单模拟付款发货收货；申请售后；审核、填写退货物流并处理,订单各状态可追踪；申请不冒充退款完成；DIY 不出现错误的普通售后承诺,订单、售后号、物流和退款状态,,,,,,未执行,,,
T47,R19,P0,受控订单 / 积分账户,可产生符合条件积分的测试订单,分别用 99.99、100、199.99、200 金额验证；退款改净实付；复放通知,应得积分按每满 100 取整；退款重算扣回；可负数；重复通知不重复记账,订单与 points_ledger 对账,,,,,,未执行,,,
T48,R19,P0,信众 / 积分商城,足额和不足额账户、兑换库存,不足兑换；足额兑换；待发货取消；另单发货确认收货,不足不扣；成功单次扣；合法取消退回；状态权限与库存一致,积分前后、兑换号和库存,,,,,,未执行,,,
T49,R20,P0,信众 / 活动后台,已发布正整数扣分活动、已知余额,确认参与；重复请求；余额不足及截止后参与；查询原记录,规则明示扣分；每期一次；失败不扣；结果与积分一致，不凭动画判断,参与 ID、积分流水和截止时间,,,,,,未执行,,,
T50,R20,P0,活动后台 / 信众,未参与草稿、有人参与活动、可领奖记录,发布再试改规则；有人参与试取消；中奖填地址后发货收货,发布冻结关键规则；有人参与不能取消；领奖与物流独立留痕,规则版本、错误及领奖订单,,,,,,未执行,,,
T51,R21,P1,所有端,浅深主题、系统主题切换能力,切浅深和跟随系统；重开页面；读取金额、表格和错误提示,主题正确保存；文字清楚；固定列不透明穿透；状态不只靠颜色,代表页浅深截图与重开结果,,,,,,未执行,,,
T52,R21,P1,H5 / 后台 / 两 iOS,320/390/768 宽度及桌面、可放大字号,检查导航抽屉、表单键盘、长标题、媒体、回执按钮；键盘遍历弹层,核心操作可达且无页面溢出；弹层焦点正确；关闭不遗留滚动锁,尺寸、键盘路径和问题截图,,,,,,未执行,,,
T53,R21,P1,H5 / 两 iOS,开启减少动态效果，已完成档案,切页、反复开列表、播放媒体、确认受控回执、返回档案,重复入场及装饰循环减少；视频不自动播放；完成仅成功后单次反馈,设置、录屏与状态时序,,,,,,未执行,,,
T54,R22,P0,两款 iOS 真机,匹配基线的签名构建、解锁设备,安装启动；登录；游客 DIY 登录恢复；消息及回执读写；前后台切换,逐项真机记录；不以安装或模拟器结果代替业务；大师/信众分开结论,设备系统、构建号、安装和业务记录,,,,,,未执行,,,
T55,R22,P1,iOS / APNs / 两端通话,已配置相应外部服务且获准试验,验证锁屏通知和点开目标、退出解绑；跨网络呼叫接听挂断,通知按账号隔离；通话媒体真实双向可用；条件未具备标阻塞,设备、网络、通知/通话记录,,,,,,未执行,,,
T56,R22,P0,支付 / 商城 / 预约 / DIY,选定真实渠道、测试商户及资金验证许可,小额真实支付；重复回调；退款；渠道与订单对账；核实到账,真实金额与各状态一致；防重复；到账有渠道证据；无渠道则阻塞,脱敏渠道流水与订单核对,,,,,,未执行,,,
T57,R22,P1,发布 / 运维测试环境,相同迁移基线和备份，专用演练库,发布前后检查媒体持久化、迁移和健康；按兼容版本恢复备份演练,既有订单与媒体可读；pending_receipt 不回退到不识别状态代码；恢复证据完整,发布版本、恢复记录和样本校验,,,,,,未执行,,,
T58,R22,P1,关键页面 / API,固定设备网络、样本量和商定性能目标,测冷启、列表、登录、回执上传播放和长列表；记录 p50/p95 错误率,按会前约定阈值判定；无阈值仅记录观察不宣称性能通过,样本数、环境、分位数和阈值,,,,,,未执行,,,
T59,R18,P1,信众 H5 / iOS,两个受控收货地址及可编辑资料,修改昵称头像；新增编辑默认地址；取消删除后确认删除,保存后重新进入仍正确；取消不变；他人不可读写地址；订单历史地址不随地址簿重算,资料和地址结果、历史订单对照,,,,,,未执行,,,
T60,R18,P0,信众 / 商城,可用、过期、不满足门槛三类优惠券,结算尝试使用各券；修改商品金额；提交后核对订单和券状态,仅满足规则可用；服务端重算实付；重复提交不重复占券；旧订单保留优惠快照,优惠规则、订单明细、券状态,,,,,,未执行,,,
T61,R08,P1,信众 / 大师 / 寺院,本人已完成、未完成及他人预约,未完成和他人单尝试评价；本人完成单提交；重复提交；查看执行方回复,评价资格正确；每单一次；真实评论与回复可见且不串单,订单状态、评价 ID 与回复,,,,,,未执行,,,
T62,R08,P1,大师 / 寺院 / 信众,可编辑排班、已有预约,设置未来时段保存；信众刷新可约时间；设置休息日并检查旧预约,新时段按保存结果展示；休息日不新接单；既有预约需单独处理,排班前后、用户可约结果、旧订单,,,,,,未执行,,,
T63,R15,P0,平台模型设置 / 信众,有权限及只读账号、受控模型配置,测试连接不保存；确认当前模型未改；保存生效后发新问答；查旧回答,测试不等于配置保存；只有授权者可保存；新问答按配置，旧内容不改写；无密钥泄露,脱敏配置版本、权限和新旧回答,,,,,,未执行,,,
T64,R06,P0,平台消息 / 大师通知,超管、商城账号、大师账号及受控接收人,分别访问模板和推送管理；超管仅向受控人发送；大师读本人通知,仅超管操作平台推送；大师本人接口归属正确；发送记录不冒充 APNs 到达,权限响应、接收范围和投递层次,,,,,,未执行,,,
T65,R22,P0,大师收入 / 平台财务,隔离收入、提现申请及处理记录,查看筛选收入；提交允许的申请；后台处理并查询；重复请求,申请审核与到账分开；归属与金额一致；无重复处理；真实到账未验不标通过,申请号、财务处理与渠道证据或阻塞原因,,,,,,未执行,,,
T66,R07,P1,平台首页配置 / H5 / iOS,未来、生效和过期三条受控广告,保存不同有效期及合法目标；两端刷新首页；点击生效卡片,仅符合发布状态和有效期内容展示；跳对应目的地；保存未发布不冒充已展示,配置状态、时间、两端内容和目标,,,,,,未执行,,,
